alphabet_size,average_train_time,average_gen_time
5,639.516µs,71.575µs
6,992.033µs,58.720µs
7,1.078ms,58.325µs
8,1.590ms,56.691µs
9,1.746ms,59.504µs
10,2.331ms,57.887µs
11,2.524ms,58.062µs
12,3.241ms,58.487µs
13,3.478ms,60.691µs
14,4.275ms,62.029µs
15,4.641ms,62.108µs
16,5.687ms,60.992µs
17,5.977ms,68.258µs
18,6.953ms,63.967µs
19,7.357ms,62.045µs
20,8.526ms,66.062µs
21,8.897ms,65.758µs
22,10.124ms,62.683µs
23,10.571ms,65.108µs
24,11.879ms,61.679µs
25,12.340ms,64.333µs
26,13.824ms,63.916µs
27,14.313ms,65.983µs
28,15.891ms,63.783µs
29,16.814ms,68.875µs
30,18.652ms,65.737µs
31,19.195ms,65.521µs
32,21.044ms,66.075µs
33,21.624ms,70.137µs
34,23.611ms,68.183µs
35,24.245ms,66.946µs
36,26.283ms,70.391µs
37,26.963ms,69.329µs
38,29.091ms,69.929µs
39,29.814ms,71.883µs
40,32.138ms,69.170µs
41,32.883ms,72.266µs
42,35.218ms,69.012µs
43,36.017ms,70.104µs
44,38.630ms,70.558µs
45,39.426ms,75.729µs
46,41.967ms,70.979µs
47,43.028ms,73.679µs
48,46.097ms,72.204µs
49,47.085ms,75.849µs
50,50.145ms,72.166µs
51,50.427ms,73.658µs
52,53.183ms,72.583µs
53,54.543ms,74.929µs
54,57.304ms,77.216µs
55,58.394ms,77.266µs
56,61.289ms,75.933µs
57,63.690ms,78.979µs
58,67.347ms,76.733µs
59,68.396ms,77.829µs
60,71.575ms,77.391µs
61,72.774ms,79.404µs
62,77.083ms,80.395µs
63,77.497ms,79.650µs
64,81.037ms,78.146µs
65,82.430ms,81.346µs
66,85.997ms,79.799µs
67,87.583ms,79.225µs
68,91.376ms,84.283µs
69,92.647ms,82.950µs
70,98.512ms,83.270µs
71,97.722ms,80.137µs
72,102.272ms,83.258µs
73,104.360ms,87.970µs
74,108.883ms,83.979µs
75,110.823ms,85.591µs
76,113.294ms,81.775µs
77,114.605ms,84.187µs
78,118.707ms,83.300µs
79,122.000ms,83.316µs
80,125.131ms,84.762µs
81,128.949ms,90.416µs
82,132.761ms,82.966µs
83,132.810ms,82.429µs
84,138.065ms,89.095µs
85,140.225ms,88.599µs
86,147.666ms,92.162µs
87,146.581ms,83.887µs
88,151.166ms,88.075µs
89,153.287ms,90.420µs
90,158.976ms,87.366µs
91,162.919ms,87.816µs
92,167.552ms,92.841µs
93,168.869ms,90.166µs
94,172.235ms,90.391µs
95,173.884ms,90.941µs
96,181.500ms,87.721µs
97,184.375ms,91.525µs
98,188.526ms,88.904µs
99,190.719ms,89.337µs
100,195.119ms,88.783µs
