sequence_length,average_train_time,average_gen_time
50,7.779ms,677.430µs
100,13.213ms,610.375µs
150,18.913ms,838.721µs
200,23.958ms,1.101ms
250,29.824ms,1.408ms
300,35.272ms,1.674ms
350,41.690ms,2.013ms
400,47.367ms,2.205ms
450,53.020ms,2.506ms
500,58.228ms,2.755ms
550,64.399ms,3.024ms
600,70.100ms,3.296ms
650,75.746ms,3.572ms
700,81.923ms,3.902ms
750,86.323ms,4.138ms
800,93.178ms,4.470ms
850,98.769ms,4.693ms
900,104.356ms,4.964ms
950,110.209ms,5.244ms
1000,116.167ms,5.554ms
1050,121.081ms,5.837ms
1100,127.575ms,6.086ms
1150,132.073ms,6.477ms
1200,138.518ms,6.921ms
1250,145.074ms,7.115ms
1300,151.021ms,7.226ms
1350,156.492ms,7.675ms
1400,162.926ms,7.881ms
1450,167.646ms,8.110ms
1500,174.994ms,8.665ms
1550,180.394ms,8.642ms
1600,187.330ms,8.995ms
1650,191.211ms,9.541ms
1700,198.223ms,9.729ms
1750,204.865ms,9.831ms
1800,213.961ms,10.116ms
1850,214.303ms,10.493ms
1900,219.958ms,10.742ms
1950,225.471ms,11.697ms
2000,230.988ms,11.801ms
2050,235.811ms,12.216ms
2100,242.007ms,12.709ms
2150,247.664ms,12.461ms
2200,253.175ms,12.786ms
2250,259.023ms,12.832ms
2300,265.418ms,13.104ms
2350,269.860ms,13.239ms
2400,276.132ms,13.563ms
2450,281.541ms,13.921ms
2500,289.229ms,14.059ms
2550,293.657ms,14.659ms
2600,303.047ms,14.675ms
2650,307.914ms,15.231ms
2700,314.284ms,15.518ms
2750,317.064ms,15.727ms
2800,325.008ms,15.820ms
2850,330.664ms,16.730ms
2900,336.946ms,16.620ms
2950,344.238ms,17.655ms
3000,354.138ms,17.658ms
3050,353.560ms,17.638ms
3100,362.922ms,17.492ms
3150,366.748ms,18.061ms
3200,370.516ms,18.127ms
3250,374.137ms,18.397ms
3300,379.816ms,19.047ms
3350,391.849ms,19.020ms
3400,392.083ms,19.257ms
3450,401.538ms,19.824ms
3500,408.649ms,19.835ms
3550,412.923ms,20.758ms
3600,419.055ms,21.187ms
3650,426.267ms,21.103ms
3700,431.034ms,21.043ms
3750,431.605ms,21.926ms
3800,437.625ms,22.353ms
3850,442.249ms,22.524ms
3900,450.698ms,23.275ms
3950,460.547ms,22.839ms
4000,460.828ms,22.864ms
4050,465.005ms,23.076ms
4100,471.735ms,23.721ms
4150,484.981ms,24.307ms
4200,485.519ms,25.001ms
4250,487.525ms,24.654ms
4300,499.217ms,24.569ms
4350,508.170ms,24.920ms
4400,507.069ms,25.622ms
4450,520.325ms,25.543ms
4500,516.800ms,25.735ms
4550,522.861ms,26.512ms
4600,544.867ms,27.346ms
4650,545.486ms,27.040ms
4700,544.161ms,27.009ms
4750,550.930ms,27.083ms
4800,551.204ms,28.248ms
4850,562.073ms,28.173ms
4900,563.272ms,29.226ms
4950,570.847ms,29.463ms
5000,579.857ms,29.706ms
5050,591.595ms,29.360ms
5100,596.448ms,29.497ms
5150,597.283ms,30.099ms
5200,610.022ms,30.312ms
5250,605.372ms,30.936ms
5300,621.256ms,30.583ms
5350,619.155ms,31.435ms
5400,623.277ms,32.220ms
5450,632.973ms,31.442ms
5500,639.014ms,32.191ms
5550,642.284ms,33.183ms
5600,655.317ms,32.737ms
